OrderDetailID	OrderID	ProductID	Quantity
1	10444	17	10
2	10444	26	15
3	10444	35	8
4	10444	41	30
5	10445	39	6
6	10445	54	15
7	10446	19	12
8	10446	24	20
9	10446	31	3
10	10446	52	15
11	10447	19	40
12	10447	65	35
13	10447	71	2
14	10448	26	6
15	10448	40	20
16	10449	10	14
17	10449	52	20
18	10449	62	35
19	10450	10	20
20	10450	54	6
21	10451	55	120
22	10451	64	35
23	10451	65	28
24	10451	77	55
25	10452	28	15
26	10452	44	100
27	10453	48	15
28	10453	70	25
29	10454	16	20
30	10454	33	20
31	10454	46	10
32	10455	39	20
33	10455	53	50
34	10455	61	25
35	10455	71	30
36	10456	21	40
37	10456	49	21
38	10457	59	36
39	10458	26	30
40	10458	28	30
41	10458	43	20
42	10458	56	15
43	10458	71	50
44	10459	7	16
45	10459	46	20
46	10459	72	40
47	10460	68	21
48	10460	75	4
49	10461	21	40
50	10461	30	28
51	10461	55	60
52	10462	13	1
53	10462	23	21
54	10463	19	21
55	10463	42	50
56	10464	4	16
57	10464	43	3
58	10464	56	30
59	10464	60	20
60	10465	24	25
61	10465	29	18
62	10465	40	20
63	10465	45	30
64	10465	50	25
65	10466	11	10
66	10466	46	5
67	10467	24	28
68	10467	25	12
69	10468	30	8
70	10468	43	15
71	10469	2	40
72	10469	16	35
73	10469	44	2
74	10470	18	30
75	10470	23	15
76	10470	64	8
77	10471	7	30
78	10471	56	20
79	10472	24	80
80	10472	51	18
81	10473	33	12
82	10473	71	12
83	10474	14	12
84	10474	28	18
85	10474	40	21
86	10474	75	10
87	10475	31	35
88	10475	66	60
89	10475	76	42
90	10476	55	2
91	10476	70	12
92	10477	1	15
93	10477	21	21
94	10477	39	20
95	10478	10	20
96	10479	38	30
97	10479	53	28
98	10479	59	60
99	10479	64	30
100	10480	47	30
101	10480	59	12
102	10481	49	24
103	10481	60	40
104	10482	40	10
105	10483	34	35
106	10483	77	30
107	10484	21	14
108	10484	40	10
109	10484	51	3
110	10485	2	20
111	10485	3	20
112	10485	55	30
113	10485	70	60
114	10486	11	5
115	10486	51	25
116	10486	74	16
117	10487	19	5
118	10487	26	30
119	10487	54	24
120	10488	59	30
121	10488	73	20
122	10489	11	15
123	10489	16	18
124	10490	59	60
125	10490	68	30
126	10490	75	36
127	10491	44	15
128	10491	77	7
129	10492	25	60
130	10492	42	20
131	10493	65	15
132	10493	66	10
133	10493	69	10
134	10494	56	30
135	10495	23	10
136	10495	41	20
137	10495	77	5
138	10496	31	20
139	10497	56	14
140	10497	72	25
141	10497	77	25
142	10498	24	14
143	10498	40	5
144	10498	42	30
145	10499	28	20
146	10499	49	25
147	10500	15	12
148	10500	28	8
149	10501	54	20
150	10502	45	21
151	10502	53	6
152	10502	67	30
153	10503	14	70
154	10503	65	20
155	10504	2	12
156	10504	21	12
157	10504	53	10
158	10504	61	25
159	10505	62	3
160	10506	25	18
161	10506	70	14
162	10507	43	15
163	10507	48	15
164	10508	13	10
165	10508	39	10
166	10509	28	3
167	10510	29	36
168	10510	75	36
169	10511	4	50
170	10511	7	50
171	10511	8	10
172	10512	24	10
173	10512	46	9
174	10512	47	6
175	10512	60	12
176	10513	21	40
177	10513	32	50
178	10513	61	15
179	10514	20	39
180	10514	28	35
181	10514	56	70
182	10514	65	39
183	10514	75	50
184	10515	9	16
185	10515	16	50
186	10515	27	120
187	10515	33	16
188	10515	60	84
189	10516	18	25
190	10516	41	80
191	10516	42	20
192	10517	52	6
193	10517	59	4
194	10517	70	6
195	10518	24	5
196	10518	38	15
197	10518	44	9
198	10519	10	16
199	10519	56	40
200	10519	60	10
201	10520	24	8
202	10520	53	5
203	10521	35	3
204	10521	41	10
205	10521	68	6
206	10522	1	40
207	10522	8	24
208	10522	30	20
209	10522	40	25
210	10523	17	25
211	10523	20	15
212	10523	37	18
213	10523	41	6
214	10524	10	2
215	10524	30	10
216	10524	43	60
217	10524	54	15
218	10525	36	30
219	10525	40	15
220	10526	1	8
221	10526	13	10
222	10526	56	30
223	10527	4	50
224	10527	36	30
225	10528	11	3
226	10528	33	8
227	10528	72	9
228	10529	55	14
229	10529	68	20
230	10529	69	10
231	10530	17	40
232	10530	43	25
233	10530	61	20
234	10530	76	50
235	10531	59	2
236	10532	30	15
237	10532	66	24
238	10533	4	50
239	10533	72	24
240	10533	73	24
241	10534	30	10
242	10534	40	10
243	10534	54	10
244	10535	11	50
245	10535	40	10
246	10535	57	5
247	10535	59	15
248	10536	12	15
249	10536	31	20
250	10536	33	30
251	10536	60	35
252	10537	31	30
253	10537	51	6
254	10537	58	20
255	10537	72	21
256	10537	73	9
257	10538	70	7
258	10538	72	1
259	10539	13	8
260	10539	21	15
261	10539	33	15
262	10539	49	6
263	10540	3	60
264	10540	26	40
265	10540	38	30
266	10540	68	35
267	10541	24	35
268	10541	38	4
269	10541	65	36
270	10541	71	9
271	10542	11	15
272	10542	54	24
273	10543	12	30
274	10543	23	70
275	10544	28	7
276	10544	67	7
277	10545	11	10
278	10546	7	10
279	10546	35	30
280	10546	62	40
281	10547	32	24
282	10547	36	60
283	10548	34	10
284	10548	41	14
285	10549	31	55
286	10549	45	100
287	10549	51	48
288	10550	17	8
289	10550	19	10
290	10550	21	6
291	10550	61	10
292	10551	16	40
293	10551	35	20
294	10551	44	40
295	10552	69	18
296	10552	75	30
297	10553	11	15
298	10553	16	14
299	10553	22	24
300	10553	31	30
301	10553	35	6
302	10554	16	30
303	10554	23	20
304	10554	62	20
305	10554	77	10
306	10555	14	30
307	10555	19	35
308	10555	24	18
309	10555	51	20
310	10555	56	40
311	10556	72	24
312	10557	64	30
313	10557	75	20
314	10558	47	25
315	10558	51	20
316	10558	52	30
317	10558	53	18
318	10558	73	3
319	10559	41	12
320	10559	55	18
321	10560	30	20
322	10560	62	15
323	10561	44	10
324	10561	51	50
325	10562	33	20
326	10562	62	10
327	10563	36	25
328	10563	52	70
329	10564	17	16
330	10564	31	6
331	10564	55	25
332	10565	24	25
333	10565	64	18
334	10566	11	35
335	10566	18	18
336	10566	76	10
337	10567	31	60
338	10567	51	3
339	10567	59	40
340	10568	10	5
341	10569	31	35
342	10569	76	30
343	10570	11	15
344	10570	56	60
345	10571	14	11
346	10571	42	28
347	10572	16	12
348	10572	32	10
349	10572	40	50
350	10572	75	15
351	10573	17	18
352	10573	34	40
353	10573	53	25
354	10574	33	14
355	10574	40	2
356	10574	62	10
357	10574	64	6
358	10575	59	12
359	10575	63	6
360	10575	72	30
361	10575	76	10
362	10576	1	10
363	10576	31	20
364	10576	44	21
365	10577	39	10
366	10577	75	20
367	10577	77	18
368	10578	35	20
369	10578	57	6
370	10579	15	10
371	10579	75	21
372	10580	14	15
373	10580	41	9
374	10580	65	30
375	10581	75	50
376	10582	57	4
377	10582	76	14
378	10583	29	10
379	10583	60	24
380	10583	69	10
381	10584	31	50
382	10585	47	15
383	10586	52	4
384	10587	26	6
385	10587	35	20
386	10587	77	20
387	10588	18	40
388	10588	42	100
389	10589	35	4
390	10590	1	20
391	10590	77	60
392	10591	3	14
393	10591	7	10
394	10591	54	50
395	10592	15	25
396	10592	26	5
397	10593	20	21
398	10593	69	20
399	10593	76	4
400	10594	52	24
401	10594	58	30
402	10595	35	30
403	10595	61	120
404	10595	69	65
405	10596	56	5
406	10596	63	24
407	10596	75	30
408	10597	24	35
409	10597	57	20
410	10597	65	12
411	10598	27	50
412	10598	71	9
413	10599	62	10
414	10600	54	4
415	10600	73	30
416	10601	13	60
417	10601	59	35
418	10602	77	5
419	10603	22	48
420	10603	49	25
421	10604	48	6
422	10604	76	10
423	10605	16	30
424	10605	59	20
425	10605	60	70
426	10605	71	15
427	10606	4	20
428	10606	55	20
429	10606	62	10
430	10607	7	45
431	10607	17	100
432	10607	33	14
433	10607	40	42
434	10607	72	12
435	10608	56	28
436	10609	1	3
437	10609	10	10
438	10609	21	6
439	10610	36	21
440	10611	1	6
441	10611	2	10
442	10611	60	15
443	10612	10	70
444	10612	36	55
445	10612	49	18
446	10612	60	40
447	10612	76	80
448	10613	13	8
449	10613	75	40
450	10614	11	14
451	10614	21	8
452	10614	39	5
453	10615	55	5
454	10616	38	15
455	10616	56	14
456	10616	70	15
457	10616	71	15
458	10617	59	30
459	10618	6	70
460	10618	56	20
461	10618	68	15
462	10619	21	42
463	10619	22	40
464	10620	24	5
465	10620	52	5
466	10621	19	5
467	10621	23	10
468	10621	70	20
469	10621	71	15
470	10622	2	20
471	10622	68	18
472	10623	14	21
473	10623	19	15
474	10623	21	25
475	10623	24	3
476	10623	35	30
477	10624	28	10
478	10624	29	6
479	10624	44	10
480	10625	14	3
481	10625	42	5
482	10625	60	10
483	10626	53	12
484	10626	60	20
485	10626	71	20
486	10627	62	15
487	10627	73	35
488	10628	1	25
489	10629	29	20
490	10629	64	9
491	10630	55	12
492	10630	76	35
493	10631	75	8
494	10632	2	30
495	10632	33	20
496	10633	12	36
497	10633	13	13
498	10633	26	35
499	10633	62	80
500	10634	7	35
501	10634	18	50
502	10634	51	15
503	10634	75	2
504	10635	4	10
505	10635	5	15
506	10635	22	40
507	10636	4	25
508	10636	58	6
509	10637	11	10
510	10637	50	25
511	10637	56	60
512	10638	45	20
513	10638	65	21
514	10638	72	60
515	10639	18	8
516	10640	69	20
517	10640	70	15
518	10641	2	50
519	10641	40	60
520	10642	21	30
521	10642	61	20
522	10643	28	15
523	10643	39	21
524	10643	46	2
525	10644	18	4
526	10644	43	20
527	10644	46	21
528	10645	18	20
529	10645	36	15
530	10646	1	15
531	10646	10	18
532	10646	71	30
533	10646	77	35
534	10647	19	30
535	10647	39	20
536	10648	22	15
537	10648	24	15
538	10649	28	20
539	10649	72	15
540	10650	30	30
541	10650	53	25
542	10650	54	30
543	10651	19	12
544	10651	22	20
545	10652	30	2
546	10652	42	20
547	10653	16	30
548	10653	60	20
549	10654	4	12
550	10654	39	20
551	10654	54	6
552	10655	41	20
553	10656	14	3
554	10656	44	28
555	10656	47	6
556	10657	15	50
557	10657	41	24
558	10657	46	45
559	10657	47	10
560	10657	56	45
561	10657	60	30
562	10658	21	60
563	10658	40	70
564	10658	60	55
565	10658	77	70
566	10659	31	20
567	10659	40	24
568	10659	70	40
569	10660	20	21
570	10661	39	3
571	10661	58	49
572	10662	68	10
573	10663	40	30
574	10663	42	30
575	10663	51	20
576	10664	10	24
577	10664	56	12
578	10664	65	15
579	10665	51	20
580	10665	59	1
581	10665	76	10
582	10666	29	36
583	10666	65	10
584	10667	69	45
585	10667	71	14
586	10668	31	8
587	10668	55	4
588	10668	64	15
589	10669	36	30
590	10670	23	32
591	10670	46	60
592	10670	67	25
593	10670	73	50
594	10670	75	25
595	10671	16	10
596	10671	62	10
