OrderID	CustomerID	EmployeeID	OrderDate	ShipperID
10444	90 	13	2/12/1997	3
10445	81 	13	2/13/1997	1
10446	34 	16	2/14/1997	1
10447	84 	14	2/15/1997	2
10448	76 	14	2/16/1997	2
10449	34 	13	2/17/1997	2
10450	14 	18	2/18/1997	2
10451	68 	14	2/19/1997	3
10452	88 	18	2/20/1997	1
10453	35 	11	2/21/1997	2
10454	20 	14	2/22/1997	3
10455	13 	18	2/23/1997	2
10456	55 	18	2/24/1997	2
10457	61 	12	2/25/1997	1
10458	65 	17	2/26/1997	3
10459	20 	14	2/27/1997	2
10460	24 	18	2/28/1997	1
10461	7 	11	3/1/1997	3
10462	87 	12	3/2/1997	1
10463	25 	15	3/3/1997	3
10464	33 	14	3/4/1997	2
10465	89 	11	3/5/1997	3
10466	87 	14	3/6/1997	1
10467	75 	18	3/7/1997	2
10468	65 	13	3/8/1997	3
10469	63 	11	3/9/1997	1
10470	85 	14	3/10/1997	2
10471	49 	12	3/11/1997	3
10472	80 	18	3/12/1997	1
10473	52 	11	3/13/1997	3
10474	5 	15	3/14/1997	2
10475	44 	19	3/15/1997	1
10476	5 	18	3/16/1997	3
10477	69 	15	3/17/1997	2
10478	69 	12	3/18/1997	3
10479	46 	13	3/19/1997	3
10480	44 	16	3/20/1997	2
10481	63 	18	3/21/1997	2
10482	63 	11	3/22/1997	3
10483	67 	17	3/23/1997	2
10484	66 	13	3/24/1997	3
10485	11 	14	3/25/1997	2
10486	15 	11	3/26/1997	2
10487	61 	12	3/27/1997	2
10488	81 	18	3/28/1997	2
10489	80 	16	3/29/1997	2
10490	65 	17	3/30/1997	2
10491	85 	18	3/31/1997	3
10492	46 	13	4/1/1997	1
10493	7 	14	4/2/1997	3
10494	37 	14	4/3/1997	2
10495	67 	13	4/4/1997	3
10496	49 	17	4/5/1997	2
10497	86 	17	4/6/1997	1
10498	76 	18	4/7/1997	2
10499	30 	14	4/8/1997	2
10500	80 	16	4/9/1997	1
10501	55 	19	4/10/1997	3
10502	69 	12	4/11/1997	1
10503	48 	16	4/12/1997	2
10504	2 	14	4/13/1997	3
10505	37 	13	4/14/1997	3
10506	77 	19	4/15/1997	2
10507	18 	17	4/16/1997	1
10508	86 	11	4/17/1997	2
10509	63 	14	4/18/1997	1
10510	65 	16	4/19/1997	3
10511	38 	14	4/20/1997	3
10512	65 	17	4/21/1997	2
10513	48 	17	4/22/1997	1
10514	38 	13	4/23/1997	2
10515	80 	12	4/24/1997	1
10516	87 	12	4/25/1997	3
10517	38 	13	4/26/1997	3
10518	58 	14	4/27/1997	2
10519	39 	16	4/28/1997	3
10520	71 	17	4/29/1997	1
10521	39 	18	4/30/1997	2
10522	8 	14	5/1/1997	1
10523	24 	17	5/2/1997	2
10524	28 	11	5/3/1997	2
10525	75 	11	5/4/1997	2
10526	46 	14	5/5/1997	2
10527	9 	17	5/6/1997	1
10528	51 	16	5/7/1997	2
10529	87 	15	5/8/1997	2
10530	84 	13	5/9/1997	2
10531	37 	17	5/10/1997	1
10532	60 	17	5/11/1997	3
10533	25 	18	5/12/1997	1
10534	55 	18	5/13/1997	2
10535	51 	14	5/14/1997	1
10536	9 	13	5/15/1997	2
10537	73 	11	5/16/1997	1
10538	25 	19	5/17/1997	3
10539	44 	16	5/18/1997	3
10540	89 	13	5/19/1997	3
10541	63 	12	5/20/1997	1
10542	65 	11	5/21/1997	3
10543	21 	18	5/22/1997	2
10544	86 	14	5/23/1997	1
10545	75 	18	5/24/1997	2
10546	41 	11	5/25/1997	3
10547	20 	13	5/26/1997	2
10548	28 	13	5/27/1997	2
10549	59 	15	5/28/1997	1
10550	58 	17	5/29/1997	3
10551	4 	14	5/30/1997	3
10552	86 	12	5/31/1997	1
10553	46 	12	6/1/1997	2
10554	41 	14	6/2/1997	3
10555	72 	16	6/3/1997	3
10556	7 	12	6/4/1997	1
10557	63 	19	6/5/1997	2
10558	9 	11	6/6/1997	2
10559	17 	16	6/7/1997	1
10560	19 	18	6/8/1997	1
10561	3 	12	6/9/1997	2
10562	29 	11	6/10/1997	1
10563	83 	12	6/11/1997	2
10564	20 	14	6/12/1997	3
10565	75 	18	6/13/1997	2
10566	14 	19	6/14/1997	1
10567	41 	11	6/15/1997	1
10568	62 	13	6/16/1997	3
10569	37 	15	6/17/1997	1
10570	91 	13	6/18/1997	3
10571	36 	18	6/19/1997	3
10572	51 	13	6/20/1997	2
10573	72 	17	6/21/1997	3
10574	24 	14	6/22/1997	2
10575	61 	15	6/23/1997	1
10576	37 	13	6/24/1997	3
10577	46 	19	6/25/1997	2
10578	20 	14	6/26/1997	3
10579	4 	11	6/27/1997	2
10580	5 	14	6/28/1997	3
10581	75 	13	6/29/1997	1
10582	21 	13	6/30/1997	2
10583	70 	12	7/1/1997	2
10584	72 	14	7/2/1997	1
10585	10 	17	7/3/1997	1
10586	20 	19	7/4/1997	1
10587	17 	11	7/5/1997	1
10588	59 	12	7/6/1997	3
10589	71 	18	7/7/1997	2
10590	36 	14	7/8/1997	3
10591	35 	11	7/9/1997	1
10592	25 	13	7/10/1997	1
10593	60 	17	7/11/1997	2
10594	71 	13	7/12/1997	2
10595	83 	12	7/13/1997	1
10596	19 	18	7/14/1997	1
10597	65 	17	7/15/1997	3
10598	20 	11	7/16/1997	3
10599	20 	16	7/17/1997	3
10600	49 	14	7/18/1997	1
10601	47 	17	7/19/1997	1
10602	62 	18	7/20/1997	2
10603	56 	18	7/21/1997	2
10604	23 	11	7/22/1997	1
10605	54 	11	7/23/1997	2
10606	10 	14	7/24/1997	3
10607	10 	15	7/25/1997	1
10608	87 	14	7/26/1997	2
10609	41 	17	7/27/1997	2
10610	21 	18	7/28/1997	1
10611	36 	16	7/29/1997	2
10612	87 	11	7/30/1997	2
10613	73 	14	7/31/1997	2
10614	63 	18	8/1/1997	3
10615	68 	12	8/2/1997	3
10616	88 	11	8/3/1997	2
10617	61 	14	8/4/1997	2
10618	27 	11	8/5/1997	1
10619	31 	13	8/6/1997	3
10620	51 	12	8/7/1997	3
10621	41 	14	8/8/1997	2
10622	29 	14	8/9/1997	3
10623	59 	18	8/10/1997	2
10624	66 	14	8/11/1997	2
10625	37 	13	8/12/1997	1
10626	20 	11	8/13/1997	2
10627	10 	18	8/14/1997	3
10628	75 	14	8/15/1997	3
10629	60 	14	8/16/1997	3
10630	24 	11	8/17/1997	2
10631	16 	18	8/18/1997	1
10632	7 	18	8/19/1997	1
10633	87 	17	8/20/1997	3
10634	79 	14	8/21/1997	3
10635	51 	18	8/22/1997	3
10636	71 	14	8/23/1997	1
10637	55 	16	8/24/1997	1
10638	20 	13	8/25/1997	1
10639	66 	17	8/26/1997	3
10640	90 	14	8/27/1997	1
10641	81 	14	8/28/1997	2
10642	34 	17	8/29/1997	3
10643	84 	16	8/30/1997	1
10644	76 	13	8/31/1997	2
10645	34 	14	9/1/1997	1
10646	14 	19	9/2/1997	3
10647	68 	14	9/3/1997	2
10648	88 	15	9/4/1997	2
10649	35 	15	9/5/1997	3
10650	20 	15	9/6/1997	3
10651	13 	18	9/7/1997	2
10652	55 	14	9/8/1997	2
10653	61 	11	9/9/1997	1
10654	65 	15	9/10/1997	1
10655	20 	11	9/11/1997	2
10656	24 	16	9/12/1997	1
10657	7 	12	9/13/1997	2
10658	87 	14	9/14/1997	1
10659	25 	17	9/15/1997	2
10660	33 	18	9/16/1997	1
10661	89 	17	9/17/1997	3
10662	87 	13	9/18/1997	2
10663	75 	12	9/19/1997	2
10664	65 	11	9/20/1997	3
10665	63 	11	9/21/1997	2
10666	85 	17	9/22/1997	2
10667	49 	17	9/23/1997	1
10668	80 	11	9/24/1997	2
10669	52 	12	9/25/1997	1
10670	5 	14	9/26/1997	1
10671	44 	11	9/27/1997	1
10672	5 	19	9/28/1997	2
10673	69 	12	9/29/1997	1
10674	69 	14	9/30/1997	2
10675	46 	15	10/1/1997	2
10676	44 	12	10/2/1997	2
10677	63 	11	10/3/1997	3
10678	63 	17	10/4/1997	3
10679	67 	18	10/5/1997	3
10680	66 	11	10/6/1997	1
10681	11 	13	10/7/1997	3
10682	15 	13	10/8/1997	2
10683	61 	12	10/9/1997	1
10684	81 	13	10/10/1997	1
10685	80 	14	10/11/1997	2
10686	65 	12	10/12/1997	1
10687	85 	19	10/13/1997	2
10688	46 	14	10/14/1997	2
10689	7 	11	10/15/1997	2
10690	37 	11	10/16/1997	1
10691	67 	12	10/17/1997	2
10692	49 	14	10/18/1997	2
10693	86 	13	10/19/1997	3
10694	76 	18	10/20/1997	3
10695	30 	17	10/21/1997	1
10696	80 	18	10/22/1997	3
10697	55 	13	10/23/1997	1
10698	69 	14	10/24/1997	1
10699	48 	13	10/25/1997	3
10700	2 	13	10/26/1997	1
10701	37 	16	10/27/1997	3
10702	77 	14	10/28/1997	1
10703	18 	16	10/29/1997	2
10704	86 	16	10/30/1997	1
10705	63 	19	10/31/1997	2
10706	65 	18	11/1/1997	3
10707	38 	14	11/2/1997	3
10708	65 	16	11/3/1997	2
10709	48 	11	11/4/1997	3
10710	38 	11	11/5/1997	1
10711	80 	15	11/6/1997	2
10712	87 	13	11/7/1997	1
10713	38 	11	11/8/1997	1
10714	58 	15	11/9/1997	3
10715	39 	13	11/10/1997	1
10716	71 	14	11/11/1997	2
10717	39 	11	11/12/1997	2
10718	8 	11	11/13/1997	3
10719	24 	18	11/14/1997	2
10720	28 	18	11/15/1997	2
10721	75 	15	11/16/1997	3
10722	46 	18	11/17/1997	1
10723	9 	13	11/18/1997	1
10724	51 	18	11/19/1997	2
10725	87 	14	11/20/1997	3
10726	84 	14	11/21/1997	1
10727	37 	12	11/22/1997	1
10728	60 	14	11/23/1997	2
10729	25 	18	11/24/1997	3
10730	55 	15	11/25/1997	1
10731	51 	17	11/26/1997	1
10732	9 	13	11/27/1997	1
10733	73 	11	11/28/1997	3
10734	25 	12	11/29/1997	3
10735	44 	16	11/30/1997	2
10736	89 	19	12/1/1997	2
10737	63 	12	12/2/1997	2
10738	65 	12	12/3/1997	1
10739	21 	13	12/4/1997	3
10740	86 	14	12/5/1997	2
10741	75 	14	12/6/1997	3
10742	41 	13	12/7/1997	3
10743	20 	11	12/8/1997	2
10744	28 	16	12/9/1997	1
10745	59 	19	12/10/1997	1
10746	58 	11	12/11/1997	3
10747	4 	16	12/12/1997	1
10748	86 	13	12/13/1997	1
10749	46 	14	12/14/1997	2
10750	41 	19	12/15/1997	1
10751	72 	13	12/16/1997	3
10752	7 	12	12/17/1997	3
10753	63 	13	12/18/1997	1
10754	9 	16	12/19/1997	3
10755	17 	14	12/20/1997	2
10756	19 	18	12/21/1997	2
10757	3 	16	12/22/1997	1
10758	29 	13	12/23/1997	3
10759	83 	13	12/24/1997	3
10760	20 	14	12/25/1997	1
10761	75 	15	12/26/1997	2
10762	14 	13	12/27/1997	1
10763	41 	13	12/28/1997	3
10764	62 	16	12/29/1997	3
10765	37 	13	12/30/1997	3
10766	91 	14	12/31/1997	1
10767	36 	14	1/1/1998	3
10768	51 	13	1/2/1998	2
10769	72 	13	1/3/1998	1
10770	24 	18	1/4/1998	3
10771	61 	19	1/5/1998	2
10772	37 	13	1/6/1998	2
10773	46 	11	1/7/1998	3
10774	20 	14	1/8/1998	1
10775	4 	17	1/9/1998	1
10776	5 	11	1/10/1998	3
10777	75 	17	1/11/1998	2
10778	21 	13	1/12/1998	1
10779	70 	13	1/13/1998	2
10780	72 	12	1/14/1998	1
10781	10 	12	1/15/1998	3
10782	20 	19	1/16/1998	3
10783	17 	14	1/17/1998	2
10784	59 	14	1/18/1998	3
10785	71 	11	1/19/1998	3
10786	36 	18	1/20/1998	1
10787	35 	12	1/21/1998	1
10788	25 	11	1/22/1998	2
10789	60 	11	1/23/1998	2
10790	71 	16	1/24/1998	1
10791	83 	16	1/25/1998	2
10792	19 	11	1/26/1998	3
10793	65 	13	1/27/1998	3
10794	20 	16	1/28/1998	1
10795	20 	18	1/29/1998	2
10796	49 	13	1/30/1998	1
10797	47 	17	1/31/1998	2
10798	62 	12	2/1/1998	1
10799	56 	19	2/2/1998	3
10800	23 	11	2/3/1998	3
10801	54 	14	2/4/1998	2
10802	10 	14	2/5/1998	2
10803	10 	14	2/6/1998	1
10804	87 	16	2/7/1998	2
10805	41 	12	2/8/1998	3
10806	21 	13	2/9/1998	2
10807	36 	14	2/10/1998	1
10808	87 	12	2/11/1998	3
10809	73 	17	2/12/1998	1
10810	63 	12	2/13/1998	3
10811	68 	18	2/14/1998	1
10812	88 	15	2/15/1998	1
10813	61 	11	2/16/1998	1
10814	27 	13	2/17/1998	3
10815	31 	12	2/18/1998	3
10816	51 	14	2/19/1998	2
10817	41 	13	2/20/1998	2
10818	29 	17	2/21/1998	3
10819	59 	12	2/22/1998	3
10820	66 	13	2/23/1998	2
10821	37 	11	2/24/1998	1
10822	20 	16	2/25/1998	3
10823	10 	15	2/26/1998	2
10824	75 	18	2/27/1998	1
10825	60 	11	2/28/1998	1
10826	24 	16	3/1/1998	1
10827	16 	11	3/2/1998	2
10828	7 	19	3/3/1998	1
10829	87 	19	3/4/1998	1
10830	79 	14	3/5/1998	2
10831	51 	13	3/6/1998	2
10832	71 	12	3/7/1998	2
10833	55 	16	3/8/1998	2
10834	20 	11	3/9/1998	3
10835	66 	11	3/10/1998	3
10836	90 	17	3/11/1998	1
10837	81 	19	3/12/1998	3
10838	34 	13	3/13/1998	3
10839	84 	13	3/14/1998	3
10840	76 	14	3/15/1998	2
10841	34 	15	3/16/1998	2
10842	14 	11	3/17/1998	3
10843	68 	14	3/18/1998	2
10844	88 	18	3/19/1998	2
10845	35 	18	3/20/1998	1
10846	20 	12	3/21/1998	3
10847	13 	14	3/22/1998	3
10848	55 	17	3/23/1998	2
10849	61 	19	3/24/1998	2
10850	65 	11	3/25/1998	1
10851	20 	15	3/26/1998	1
10852	24 	18	3/27/1998	1
10853	7 	19	3/28/1998	2
10854	87 	13	3/29/1998	2
10855	25 	13	3/30/1998	1
10856	33 	13	3/31/1998	2
10857	89 	18	4/1/1998	2
10858	87 	12	4/2/1998	1
10859	75 	11	4/3/1998	2
10860	65 	13	4/4/1998	3
10861	63 	14	4/5/1998	2
10862	85 	18	4/6/1998	2
10863	49 	14	4/7/1998	2
10864	80 	14	4/8/1998	2
10865	52 	12	4/9/1998	1
10866	5 	15	4/10/1998	1
10867	44 	16	4/11/1998	1
10868	5 	17	4/12/1998	2
10869	69 	15	4/13/1998	1
10870	69 	15	4/14/1998	3
10871	46 	19	4/15/1998	2
10872	44 	15	4/16/1998	2
10873	63 	14	4/17/1998	1
10874	63 	15	4/18/1998	2
10875	67 	14	4/19/1998	2
10876	66 	17	4/20/1998	3
10877	11 	11	4/21/1998	1
10878	15 	14	4/22/1998	1
10879	61 	13	4/23/1998	3
10880	81 	17	4/24/1998	1
10881	80 	14	4/25/1998	1
10882	65 	14	4/26/1998	3
10883	85 	18	4/27/1998	3
10884	46 	14	4/28/1998	2
10885	7 	16	4/29/1998	3
10886	37 	11	4/30/1998	1
10887	67 	18	5/1/1998	3
10888	49 	11	5/2/1998	2
10889	86 	19	5/3/1998	3
10890	76 	17	5/4/1998	1
10891	30 	17	5/5/1998	2
10892	80 	14	5/6/1998	2
10893	55 	19	5/7/1998	2
10894	69 	11	5/8/1998	1
10895	48 	13	5/9/1998	1
10896	2 	17	5/10/1998	3
10897	37 	13	5/11/1998	2
10898	77 	14	5/12/1998	2
10899	18 	15	5/13/1998	3
10900	86 	11	5/14/1998	2
10901	63 	14	5/15/1998	1
10902	65 	11	5/16/1998	1
10903	38 	13	5/17/1998	3
10904	65 	13	5/18/1998	3
10905	48 	19	5/19/1998	2
10906	38 	14	5/20/1998	3
10907	80 	16	5/21/1998	3
10908	87 	14	5/22/1998	2
10909	38 	11	5/23/1998	2
10910	58 	11	5/24/1998	3
10911	39 	13	5/25/1998	1
10912	71 	12	5/26/1998	2
10913	39 	14	5/27/1998	1
10914	8 	16	5/28/1998	1
10915	24 	12	5/29/1998	2
10916	28 	11	5/30/1998	2
10917	75 	14	5/31/1998	2
10918	46 	13	6/1/1998	3
10919	9 	12	6/2/1998	2
10920	51 	14	6/3/1998	2
10921	87 	11	6/4/1998	1
10922	84 	15	6/5/1998	3
10923	37 	17	6/6/1998	3
